[Connect DataFile][1.1]
Date:	11.03.2026
Time:	11:54:29,321
Unit:	°C
Resolution:	0,037037
Values:	1
Time	Area 1	
00:00:00,037	510,9	
00:00:00,074	510,9	
00:00:00,111	510,9	
00:00:00,148	510,9	
00:00:00,185	510,9	
00:00:00,222	510,9	
00:00:00,259	510,9	
00:00:00,296	510,9	
00:00:00,333	510,9	
00:00:00,370	510,9	
00:00:00,407	510,9	
00:00:00,444	510,9	
00:00:00,481	510,9	
00:00:00,518	510,9	
00:00:00,555	510,9	
00:00:00,592	510,9	
00:00:00,629	510,9	
00:00:00,666	510,9	
00:00:00,703	510,9	
00:00:00,740	510,9	
00:00:00,777	510,9	
00:00:00,814	510,9	
00:00:00,851	510,9	
00:00:00,888	510,9	
00:00:00,925	510,9	
00:00:00,962	510,9	
00:00:00,999	510,9	
00:00:01,037	510,9	
00:00:01,074	510,9	
00:00:01,111	510,9	
00:00:01,148	510,9	
00:00:01,185	510,9	
00:00:01,222	510,9	
00:00:01,259	510,9	
00:00:01,296	510,9	
00:00:01,333	510,9	
00:00:01,370	510,9	
00:00:01,407	510,9	
00:00:01,444	510,9	
00:00:01,481	510,9	
00:00:01,518	510,9	
00:00:01,555	510,9	
00:00:01,592	510,9	
00:00:01,629	510,9	
00:00:01,666	510,9	
00:00:01,703	510,9	
00:00:01,740	510,9	
00:00:01,777	510,9	
00:00:01,814	511,0	
00:00:01,851	511,0	
00:00:01,888	511,0	
00:00:01,925	511,0	
00:00:01,962	511,0	
00:00:01,999	511,0	
00:00:02,037	511,0	
00:00:02,074	511,0	
00:00:02,111	511,0	
00:00:02,148	511,0	
00:00:02,185	511,1	
00:00:02,222	511,1	
00:00:02,259	511,1	
00:00:02,296	511,1	
00:00:02,333	511,1	
00:00:02,370	511,1	
00:00:02,407	511,1	
00:00:02,444	511,1	
00:00:02,481	511,1	
00:00:02,518	511,2	
00:00:02,555	511,2	
00:00:02,592	511,2	
00:00:02,629	511,2	
00:00:02,666	511,2	
00:00:02,703	511,2	
00:00:02,740	511,2	
00:00:02,777	511,2	
00:00:02,814	511,2	
00:00:02,851	511,2	
00:00:02,888	511,3	
00:00:02,925	511,3	
00:00:02,962	511,3	
00:00:02,999	511,3	
00:00:03,037	511,3	
